MMS ID,Title,Representation ID,TIFF Filename,S3 Path,File Size (MB),Recommended Action,Status
991011688277504641,"""The Iowa Capitol Building, ""Westward"" mural, Historical Building, Soldiers' and Sailors' Monument, Des Moines, Iowa""",12343288160004641,lib_ms80_ffc_desacap0011.tif,01GCL_INST/storage/alma/DA/5B/0F/39/DD/67/3B/CB/AF/64/B1/02/17/B9/94/FC/lib_ms80_ffc_desacap0011.tif,39.25,Create JPG derivative and set as primary,Manual JPG creation needed
991011688277704641,"""Interior of Iowa State Capitol, Des Moines, Iowa""",12343288180004641,lib_ms80_ffc_desacap0001_1.tif,01GCL_INST/storage/alma/86/1F/02/97/0F/CB/D0/96/9C/C0/20/1C/14/B4/1E/CF/lib_ms80_ffc_desacap0001_1.tif,40.16,Create JPG derivative and set as primary,Manual JPG creation needed
991011688277904641,"""Soldiers and Sailors Monument, Des Moines, Iowa""",12343288200004641,lib_ms80_ffc_desacap0009.tif,01GCL_INST/storage/alma/92/AF/E3/B3/0C/DC/EE/8D/C3/59/85/69/48/0F/F9/FC/lib_ms80_ffc_desacap0009.tif,38.72,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278104641,"""Aerial view of Capitol, Des Moines, Iowa""",12343288220004641,lib_ms80_ffc_desacap0008.tif,01GCL_INST/storage/alma/14/22/D8/CB/FC/E2/B3/12/51/D7/FE/6B/58/14/A9/0F/lib_ms80_ffc_desacap0008.tif,39.17,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278304641,"""Governor William S. Beardsley, the Iowa Capitol Building, state motto: Our Liberties We Prize and Our Rights We Will Maintain, Des Moines, Iowa""",12343288240004641,lib_ms80_ffc_desacap0007.tif,01GCL_INST/storage/alma/89/B0/A7/A8/E5/3E/8A/CD/C0/F9/8C/B6/B9/F5/18/18/lib_ms80_ffc_desacap0007.tif,39.17,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278504641,"""The golden dome, Iowa State Capitol building, Des Moines, Iowa""",12343288260004641,lib_ms80_ffc_desacap0006.tif,01GCL_INST/storage/alma/C6/58/43/9F/41/26/6F/9A/79/F6/23/86/86/4E/A3/05/lib_ms80_ffc_desacap0006.tif,47.63,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278704641,"""Iowa State Capitol building and Soldiers' and Sailors' Monument, Des Moines, Iowa""",12343288280004641,lib_ms80_ffc_desacap0005.tif,01GCL_INST/storage/alma/ED/5B/AF/87/20/0D/51/09/EE/4E/77/B5/35/3F/3F/17/lib_ms80_ffc_desacap0005.tif,49.34,Create JPG derivative and set as primary,Manual JPG creation needed
991011688278904641,"""Skyline above the Des Moines River, Des Moines, Iowa""",12343288300004641,lib_ms80_ffc_desacap0004.tif,01GCL_INST/storage/alma/2B/FD/50/6E/D9/07/F5/41/9E/09/4E/98/BE/0D/E5/4E/lib_ms80_ffc_desacap0004.tif,47.63,Create JPG derivative and set as primary,Manual JPG creation needed
991011688279104641,"""Governor Leo A. Hoegh, the Iowa Capitol Building, state motto: Our Liberties We Prize and Our Rights We Will Maintain, Des Moines, Iowa""",12343288320004641,lib_ms80_ffc_desacap0003.tif,01GCL_INST/storage/alma/B0/32/18/48/30/3D/F8/89/67/3E/25/AA/E4/3F/73/B4/lib_ms80_ffc_desacap0003.tif,39.25,Create JPG derivative and set as primary,Manual JPG creation needed
991011688279304641,"""State capitol and grounds, Des Moines, Iowa""",12343288340004641,lib_ms80_ffc_desacap0002.tif,01GCL_INST/storage/alma/D5/C8/50/F3/4A/F4/B0/15/F4/79/05/91/44/A2/D9/BA/lib_ms80_ffc_desacap0002.tif,39.37,Create JPG derivative and set as primary,Manual JPG creation needed
